"movie","views","title"
"356",329,"Forrest Gump (1994)"
"318",317,"Shawshank Redemption, The (1994)"
"296",307,"Pulp Fiction (1994)"
"593",279,"Silence of the Lambs, The (1991)"
"2571",278,"Matrix, The (1999)"
"260",251,"Star Wars: Episode IV - A New Hope (1977)"
"480",238,"Jurassic Park (1993)"
"110",237,"Braveheart (1995)"
"589",224,"Terminator 2: Judgment Day (1991)"
"527",220,"Schindler's List (1993)"
"2959",218,"Fight Club (1999)"
"1",215,"Toy Story (1995)"
"1196",211,"Star Wars: Episode V - The Empire Strikes Back (1980)"
"50",204,"Usual Suspects, The (1995)"
"2858",204,"American Beauty (1999)"
"47",203,"Seven (a.k.a. Se7en) (1995)"
"780",202,"Independence Day (a.k.a. ID4) (1996)"
"150",201,"Apollo 13 (1995)"
"1198",200,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
"4993",198,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
"1210",196,"Star Wars: Episode VI - Return of the Jedi (1983)"
"858",192,"Godfather, The (1972)"
"457",190,"Fugitive, The (1993)"
"592",189,"Batman (1989)"
"2028",188,"Saving Private Ryan (1998)"
"5952",188,"Lord of the Rings: The Two Towers, The (2002)"
"7153",185,"Lord of the Rings: The Return of the King, The (2003)"
"588",183,"Aladdin (1992)"
"608",181,"Fargo (1996)"
"2762",179,"Sixth Sense, The (1999)"
"380",178,"True Lies (1994)"
"32",177,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)"
"364",172,"Lion King, The (1994)"
"377",171,"Speed (1994)"
"1270",171,"Back to the Future (1985)"
"3578",170,"Gladiator (2000)"
"4306",170,"Shrek (2001)"
"1580",165,"Men in Black (a.k.a. MIB) (1997)"
"590",164,"Dances with Wolves (1990)"
"648",162,"Mission: Impossible (1996)"
"344",161,"Ace Ventura: Pet Detective (1994)"
"4226",159,"Memento (2000)"
"367",157,"Mask, The (1994)"
"6539",149,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
"58559",149,"Dark Knight, The (2008)"
"595",146,"Beauty and the Beast (1991)"
"1214",146,"Alien (1979)"
"1036",145,"Die Hard (1988)"
"165",144,"Die Hard: With a Vengeance (1995)"
"500",144,"Mrs. Doubtfire (1993)"
"1265",143,"Groundhog Day (1993)"
"79132",143,"Inception (2010)"
"1197",142,"Princess Bride, The (1987)"
"1704",141,"Good Will Hunting (1997)"
"6377",141,"Finding Nemo (2003)"
"316",140,"Stargate (1994)"
"1291",140,"Indiana Jones and the Last Crusade (1989)"
"1721",140,"Titanic (1997)"
"2628",140,"Star Wars: Episode I - The Phantom Menace (1999)"
"153",137,"Batman Forever (1995)"
"1136",136,"Monty Python and the Holy Grail (1975)"
"597",135,"Pretty Woman (1990)"
"231",133,"Dumb & Dumber (Dumb and Dumber) (1994)"
"293",133,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)"
"1193",133,"One Flew Over the Cuckoo's Nest (1975)"
"3793",133,"X-Men (2000)"
"10",132,"GoldenEye (1995)"
"4886",132,"Monsters, Inc. (2001)"
"1089",131,"Reservoir Dogs (1992)"
"1240",131,"Terminator, The (1984)"
"6874",131,"Kill Bill: Vol. 1 (2003)"
"7361",131,"Eternal Sunshine of the Spotless Mind (2004)"
"1221",129,"Godfather: Part II, The (1974)"
"2329",129,"American History X (1998)"
"34",128,"Babe (1995)"
"1200",126,"Aliens (1986)"
"1213",126,"Goodfellas (1990)"
"1682",125,"Truman Show, The (1998)"
"8961",125,"Incredibles, The (2004)"
"541",124,"Blade Runner (1982)"
"736",123,"Twister (1996)"
"4995",123,"Beautiful Mind, A (2001)"
"1097",122,"E.T. the Extra-Terrestrial (1982)"
"5349",122,"Spider-Man (2002)"
"733",121,"Rock, The (1996)"
"2683",121,"Austin Powers: The Spy Who Shagged Me (1999)"
"1206",120,"Clockwork Orange, A (1971)"
"2716",120,"Ghostbusters (a.k.a. Ghost Busters) (1984)"
"4973",120,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
"5445",120,"Minority Report (2002)"
"1073",119,"Willy Wonka & the Chocolate Factory (1971)"
"4963",119,"Ocean's Eleven (2001)"
"586",116,"Home Alone (1990)"
"1527",116,"Fifth Element, The (1997)"
"33794",116,"Batman Begins (2005)"
"208",115,"Waterworld (1995)"
"587",115,"Ghost (1990)"
"5989",115,"Catch Me If You Can (2002)"
"1968",113,"Breakfast Club, The (1985)"
"185",112,"Net, The (1995)"
"5418",112,"Bourne Identity, The (2002)"
"3147",111,"Green Mile, The (1999)"
"2",110,"Jumanji (1995)"
"349",110,"Clear and Present Danger (1994)"
"3996",110,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
"7438",110,"Kill Bill: Vol. 2 (2004)"
"253",109,"Interview with the Vampire: The Vampire Chronicles (1994)"
"924",109,"2001: A Space Odyssey (1968)"
"1258",109,"Shining, The (1980)"
"2918",109,"Ferris Bueller's Day Off (1986)"
"4878",109,"Donnie Darko (2001)"
"329",108,"Star Trek: Generations (1994)"
"2115",108,"Indiana Jones and the Temple of Doom (1984)"
"1208",107,"Apocalypse Now (1979)"
"4896",107,"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"
"48516",107,"Departed, The (2006)"
"539",106,"Sleepless in Seattle (1993)"
"1732",106,"Big Lebowski, The (1998)"
"1923",105,"There's Something About Mary (1998)"
"68954",105,"Up (2009)"
"39",104,"Clueless (1995)"
"111",104,"Taxi Driver (1976)"
"223",104,"Clerks (1994)"
"60069",104,"WALL·E (2008)"
"161",103,"Crimson Tide (1995)"
"357",103,"Four Weddings and a Funeral (1994)"
"2706",103,"American Pie (1999)"
"6",102,"Heat (1995)"
"778",102,"Trainspotting (1996)"
"1222",102,"Full Metal Jacket (1987)"
"5816",102,"Harry Potter and the Chamber of Secrets (2002)"
"292",101,"Outbreak (1995)"
"434",101,"Cliffhanger (1993)"
"454",101,"Firm, The (1993)"
"912",100,"Casablanca (1942)"
"1517",100,"Austin Powers: International Man of Mystery (1997)"
"4022",100,"Cast Away (2000)"
"44191",100,"V for Vendetta (2006)"
"104",99,"Happy Gilmore (1996)"
"2997",99,"Being John Malkovich (1999)"
"339",98,"While You Were Sleeping (1995)"
"750",97,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)"
"1617",97,"L.A. Confidential (1997)"
"2987",97,"Who Framed Roger Rabbit? (1988)"
"3114",97,"Toy Story 2 (1999)"
"72998",97,"Avatar (2009)"
"1784",96,"As Good as It Gets (1997)"
"1961",96,"Rain Man (1988)"
"3949",96,"Requiem for a Dream (2000)"
"6365",96,"Matrix Reloaded, The (2003)"
"2502",94,"Office Space (1999)"
"4027",94,"O Brother, Where Art Thou? (2000)"
"59315",94,"Iron Man (2008)"
"551",93,"Nightmare Before Christmas, The (1993)"
"4011",93,"Snatch (2000)"
"8368",93,"Harry Potter and the Prisoner of Azkaban (2004)"
"288",92,"Natural Born Killers (1994)"
"919",92,"Wizard of Oz, The (1939)"
"1917",92,"Armageddon (1998)"
"2355",92,"Bug's Life, A (1998)"
"2396",92,"Shakespeare in Love (1998)"
"5378",92,"Star Wars: Episode II - Attack of the Clones (2002)"
"8360",92,"Shrek 2 (2004)"
"1259",91,"Stand by Me (1986)"
"1356",91,"Star Trek: First Contact (1996)"
"1387",91,"Jaws (1975)"
"2174",91,"Beetlejuice (1988)"
"2797",91,"Big (1988)"
"3948",91,"Meet the Parents (2000)"
"1610",90,"Hunt for Red October, The (1990)"
"48780",90,"Prestige, The (2006)"
"21",89,"Get Shorty (1995)"
"1080",89,"Monty Python's Life of Brian (1979)"
"19",88,"Ace Ventura: When Nature Calls (1995)"
"2012",88,"Back to the Future Part III (1990)"
"2324",88,"Life Is Beautiful (La Vita è bella) (1997)"
"2916",88,"Total Recall (1990)"
"68157",88,"Inglourious Basterds (2009)"
"2011",87,"Back to the Future Part II (1989)"
"2617",87,"Mummy, The (1999)"
"2791",87,"Airplane! (1980)"
"5618",87,"Spirited Away (Sen to Chihiro no kamikakushi) (2001)"
"141",86,"Birdcage, The (1996)"
"1246",86,"Dead Poets Society (1989)"
"1391",86,"Mars Attacks! (1996)"
"1653",86,"Gattaca (1997)"
"1307",85,"When Harry Met Sally... (1989)"
"1393",85,"Jerry Maguire (1996)"
"5218",85,"Ice Age (2002)"
"95",84,"Broken Arrow (1996)"
"410",84,"Addams Family Values (1993)"
"904",84,"Rear Window (1954)"
"1220",84,"Blues Brothers, The (1980)"
"32587",84,"Sin City (2005)"
"1101",83,"Top Gun (1986)"
"1219",83,"Psycho (1960)"
"3897",83,"Almost Famous (2000)"
"16",82,"Casino (1995)"
"788",82,"Nutty Professor, The (1996)"
"1584",82,"Contact (1997)"
"300",81,"Quiz Show (1994)"
"317",81,"Santa Clause, The (1994)"
"442",81,"Demolition Man (1993)"
"48394",81,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
"49272",81,"Casino Royale (2006)"
"54286",81,"Bourne Ultimatum, The (2007)"
"62",80,"Mr. Holland's Opus (1995)"
"1676",80,"Starship Troopers (1997)"
"2291",80,"Edward Scissorhands (1990)"
"51662",80,"300 (2007)"
"1247",79,"Graduate, The (1967)"
"3052",79,"Dogma (1999)"
"6934",79,"Matrix Revolutions, The (2003)"
"8636",79,"Spider-Man 2 (2004)"
"3751",78,"Chicken Run (2000)"
"33493",78,"Star Wars: Episode III - Revenge of the Sith (2005)"
"337",77,"What's Eating Gilbert Grape (1993)"
"594",77,"Snow White and the Seven Dwarfs (1937)"
"1573",77,"Face/Off (1997)"
"1625",77,"Game, The (1997)"
"3623",77,"Mission: Impossible II (2000)"
"8874",77,"Shaun of the Dead (2004)"
"46578",77,"Little Miss Sunshine (2006)"
"25",76,"Leaving Las Vegas (1995)"
"440",76,"Dave (1993)"
"1225",76,"Amadeus (1984)"
"2700",76,"South Park: Bigger, Longer and Uncut (1999)"
"6333",76,"X2: X-Men United (2003)"
"69122",76,"Hangover, The (2009)"
"91529",76,"Dark Knight Rises, The (2012)"
"2000",75,"Lethal Weapon (1987)"
"2692",75,"Run Lola Run (Lola rennt) (1998)"
"3175",75,"Galaxy Quest (1999)"
"3481",75,"High Fidelity (2000)"
"6016",75,"City of God (Cidade de Deus) (2002)"
"8665",75,"Bourne Supremacy, The (2004)"
"368",74,"Maverick (1994)"
"1485",74,"Liar Liar (1997)"
"6711",74,"Lost in Translation (2003)"
"35836",74,"40-Year-Old Virgin, The (2005)"
"3994",73,"Unbreakable (2000)"
"109487",73,"Interstellar (2014)"
"1201",72,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
"3977",72,"Charlie's Angels (2000)"
"45722",72,"Pirates of the Caribbean: Dead Man's Chest (2006)"
"50872",72,"Ratatouille (2007)"
"1028",71,"Mary Poppins (1964)"
"1079",71,"Fish Called Wanda, A (1988)"
"6373",71,"Bruce Almighty (2003)"
"40815",71,"Harry Potter and the Goblet of Fire (2005)"
"63082",71,"Slumdog Millionaire (2008)"
"99114",71,"Django Unchained (2012)"
"11",70,"American President, The (1995)"
"235",70,"Ed Wood (1994)"
"474",70,"In the Line of Fire (1993)"
"1407",70,"Scream (1996)"
"2985",70,"RoboCop (1987)"
"3408",70,"Erin Brockovich (2000)"
"4034",70,"Traffic (2000)"
"520",69,"Robin Hood: Men in Tights (1993)"
"923",69,"Citizen Kane (1941)"
"1278",69,"Young Frankenstein (1974)"
"7147",69,"Big Fish (2003)"
"89745",69,"Avengers, The (2012)"
"48",68,"Pocahontas (1995)"
"266",68,"Legends of the Fall (1994)"
"1370",68,"Die Hard 2 (1990)"
"1380",68,"Grease (1978)"
"2054",68,"Honey, I Shrunk the Kids (1989)"
"3753",68,"Patriot, The (2000)"
"4979",68,"Royal Tenenbaums, The (2001)"
"17",67,"Sense and Sensibility (1995)"
"36",67,"Dead Man Walking (1995)"
"1544",67,"Lost World: Jurassic Park, The (1997)"
"2081",67,"Little Mermaid, The (1989)"
"2353",67,"Enemy of the State (1998)"
"2542",67,"Lock, Stock & Two Smoking Barrels (1998)"
"4262",67,"Scarface (1983)"
"74458",67,"Shutter Island (2010)"
"163",66,"Desperado (1995)"
"508",66,"Philadelphia (1993)"
"1288",66,"This Is Spinal Tap (1984)"
"6863",66,"School of Rock (2003)"
"553",65,"Tombstone (1993)"
"555",65,"True Romance (1993)"
"653",65,"Dragonheart (1996)"
"2194",65,"Untouchables, The (1987)"
"4246",65,"Bridget Jones's Diary (2001)"
